Frame Offset, Frame Index, Frame Time (ms), Time from first frame (ms)
6,7,2081.854,2967.998528
7,8,2081.693,5049.852287
8,9,2119.088,7131.544914
9,10,2089.968,9250.632805
10,11,2108.909,11340.60058
11,12,2140.376,13449.50951
12,13,2093.534,15589.88598
13,14,2080.712,17683.41991
14,15,2089.539,19764.13232
15,16,2086.779,21853.67089
16,17,2090.103,23940.44994
17,18,2076.947,26030.55297
18,19,2075.643,28107.4995
19,20,2079.191,30183.14257
20,21,2073.269,32262.33349
21,22,2074.238,34335.60253
22,23,2074.185,36409.84008
23,24,2075.888,38484.02465
24,25,2083.09,40559.91308
25,26,2074.069,42643.00341
26,27,2072.171,44717.07201
27,28,2076.274,46789.24291
28,29,2071.454,48865.51659
29,30,2080.717,50936.97045
30,31,2069.468,53017.68749
31,32,2089.941,55087.15502
32,33,2070.703,57177.09618
33,34,2074.34,59247.79955
34,35,2077.801,61322.1394
35,36,2075.876,63399.94042
36,37,2068.993,65475.81615
37,38,2072.386,67544.80932
38,39,2071.663,69617.19579
39,40,2085.746,71688.85888
40,41,2069.924,73774.60497
41,42,2076.682,75844.52929
42,43,2077.694,77921.21166
43,44,2081.115,79998.90527
44,45,2074.637,82080.01977
45,46,2084.603,84154.65673
46,47,2077.225,86239.25976
47,48,2072.676,88316.48461
48,49,2077.348,90389.16039
49,50,2075.688,92466.50805
50,51,2076.729,94542.19555
51,52,2079.273,96618.92455
52,53,2074.665,98698.19775
53,54,2074.425,100772.8625
54,55,2080.475,102847.2871
55,56,2075.069,104927.762
56,57,2080.128,107002.831
57,58,2079.862,109082.9592
58,59,2090.004,111162.8208
59,60,2074.252,113252.8245
60,61,2089.89,115327.0769
61,62,2075.267,117416.9665
62,63,2074.052,119492.2336
63,64,2074.393,121566.2851
64,65,2071.946,123640.6785
65,66,2075.417,125712.6245
66,67,2073.893,127788.042
67,68,2073.908,129861.9348
68,69,2082.39,131935.8433
69,70,2072.653,134018.2336
70,71,2075.372,136090.8867
71,72,2076.103,138166.2583
72,73,2074.489,140242.3613
73,74,2073.722,142316.8506
74,75,2083.914,144390.5725
75,76,2076.99,146474.4866
76,77,2073.032,148551.4766
77,78,2070.652,150624.509
78,79,2120.496,152695.1611
79,80,2089.549,154815.6575
80,81,2080.034,156905.2068
81,82,2074.648,158985.2407
82,83,2084.003,161059.8892
83,84,2068.334,163143.8926
84,85,2064.301,165212.2266
85,86,2074.655,167276.5278
86,87,2068.17,169351.1831
87,88,2068.703,171419.353
88,89,2068.812,173488.0564
89,90,2080.645,175556.8686
90,91,2072.344,177637.5132
91,92,2072.733,179709.8572
92,93,2076.882,181782.5903
93,94,2068.44,183859.4724
94,95,2070.794,185927.9123
95,96,2084.161,187998.7065
96,97,2068.189,190082.8679
97,98,2083.255,192151.0574
98,99,2078.864,194234.3125
99,100,2073.058,196313.1768
100,101,2068.217,198386.2344
101,102,2069.506,200454.4514
102,103,2079.675,202523.9578
103,104,2088.79,204603.633
104,105,2071.714,206692.4231
105,106,2073.664,208764.137
106,107,2070.389,210837.8008
107,108,2077.326,212908.1897
108,109,2068.068,214985.5154
109,110,2072.365,217053.5832
110,111,2070.712,219125.948
111,112,2069.911,221196.6601
112,113,2073.49,223266.5715
113,114,2079.921,225340.061
114,115,2104.588,227419.9817
115,116,2210.481,229524.5696